hotspot_id,lat,long,fid,ID_HDC_G0,NAME_MAIN,NAME_LIST,POP_2015,BU_2015
L1105789,37.7671866,-122.4891686,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L590796,37.7395667,-122.4412966,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L716138,37.707319,-122.1986961,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L817948,37.9103462,-122.3779106,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L6248572,37.7230033,-122.4893832,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L590781,37.5715556,-121.9749355,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L291975,37.7952032,-122.462883,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L2599185,37.9422853,-122.4109447,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1050858,37.7830143,-122.2668237,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L217690,37.793169,-122.482987,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1884681,37.4223551,-122.17623,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1839791,37.7129367,-122.1934357,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L2472257,37.916288,-122.335726,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1074460,37.7708844,-122.4638057,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
